Name, Health, NHL Team, Position, GFHL Team, GP, G, A, +/-, PIM, PPG, PPA, SHG, SHA, GWG, FOW, FOL, HAT, SOG, HIT, BLK, FPTS
Quinton Byfield, Healthy, LA, C, FA, 48, 3, 18, 11, 28, 1, 0, 0, 0, 0, 45, 48, 0, 70, 45, 15, 63.9
Jordan Greenway, Healthy, Buf, LW, FA, 55, 5, 5, -7, 26, 0, 0, 0, 0, 0, 2, 12, 0, 82, 96, 33, 63.9
Ryan Strome, Healthy, Ana, C, FA, 77, 14, 22, -30, 68, 1, 2, 0, 0, 2, 384, 493, 0, 126, 28, 22, 63.3
Nick Blankenburg, DTD, Cls, D, FA, 36, 4, 10, -16, 16, 0, 4, 0, 0, 1, 0, 0, 0, 50, 61, 49, 63.2
Zach Bogosian, Healthy, TB, D, FA, 43, 1, 4, -3, 42, 0, 0, 0, 0, 0, 1, 0, 0, 51, 112, 44, 63.1
Tyson Jost, Healthy, Buf, C- LW, FA, 66, 7, 17, -8, 30, 0, 0, 0, 0, 0, 165, 265, 0, 95, 55, 29, 63.0
Ryan Poehling, Healthy, Pit, C, FA, 48, 7, 7, 0, 8, 0, 0, 2, 1, 0, 164, 201, 0, 57, 54, 36, 62.65
Reese Johnson, Healthy, Chi, RW- C, FA, 51, 4, 2, -17, 38, 0, 0, 0, 0, 1, 113, 93, 0, 43, 158, 18, 62.4
Max Comtois, Healthy, Ana, LW, FA, 62, 9, 10, -21, 76, 0, 2, 0, 0, 0, 23, 21, 0, 89, 79, 27, 61.7
Jujhar Khaira, Healthy, Chi, LW, FA, 46, 4, 8, -10, 29, 1, 1, 1, 0, 0, 125, 134, 0, 47, 93, 32, 61.55
Evgeny Svechnikov, Healthy, SJ, LW- RW, FA, 53, 8, 6, -3, 26, 0, 0, 0, 0, 0, 6, 5, 0, 60, 86, 17, 61.3
Max Jones, Healthy, Ana, LW- RW, FA, 64, 7, 9, -21, 61, 0, 0, 0, 0, 2, 9, 12, 0, 94, 104, 16, 61.2
Robert Hagg, Healthy, Det, D, FA, 35, 1, 5, -6, 22, 0, 0, 0, 0, 0, 0, 0, 0, 37, 102, 45, 61.1
Denis Gurianov, Healthy, Mon, LW- RW, FA, 61, 7, 10, -8, 8, 1, 2, 0, 0, 0, 0, 1, 0, 109, 39, 25, 60.2
Tom Wilson, Healthy, Wsh, RW, FA, 28, 9, 7, -17, 51, 3, 1, 0, 0, 1, 4, 9, 0, 64, 85, 22, 60.05
Nicolas Aube-Kubel, Healthy, Wsh, RW, FA, 48, 4, 8, 5, 40, 0, 0, 0, 0, 0, 5, 8, 0, 64, 107, 6, 59.7
Chad Ruhwedel, Healthy, Pit, D, FA, 46, 1, 4, -4, 18, 0, 0, 0, 0, 0, 0, 0, 0, 36, 89, 49, 59.0
Julien Gauthier, DTD, Ott, RW, FA, 54, 8, 5, -8, 4, 0, 0, 0, 0, 0, 3, 5, 0, 52, 98, 11, 59.0
Jesper Boqvist, Healthy, NJ, C- RW, FA, 65, 9, 9, 4, 2, 0, 0, 0, 0, 2, 58, 119, 0, 63, 45, 19, 58.5
Joel Kiviranta, Healthy, Dal, LW- RW, FA, 65, 7, 1, -10, 34, 0, 0, 1, 0, 0, 3, 7, 0, 80, 112, 18, 58.3
Colin White, Healthy, Fla, C- RW, FA, 63, 8, 7, 0, 10, 0, 0, 0, 0, 0, 77, 106, 0, 60, 57, 25, 58.2
Jonathan Drouin, Healthy, Mon, LW, FA, 53, 2, 26, -16, 18, 0, 9, 0, 0, 0, 155, 185, 0, 67, 26, 22, 57.95
Nathan Walker, Healthy, StL, C- LW, FA, 51, 2, 6, 8, 25, 0, 0, 0, 0, 1, 71, 66, 0, 39, 74, 31, 57.6
Tim Berni, Healthy, Cls, D, FA, 53, 1, 0, -21, 32, 0, 0, 0, 0, 0, 0, 0, 0, 53, 108, 63, 57.5
Ben Harpur, Healthy, NYR, D, FA, 40, 1, 5, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 34, 58, 56, 57.3
MacKenzie Entwistle, Healthy, Chi, RW- C, FA, 60, 3, 6, -11, 14, 0, 1, 0, 0, 0, 69, 87, 0, 43, 113, 25, 57.25
Oliver Wahlstrom, IR, NYI, RW- C, FA, 35, 7, 9, 5, 32, 1, 0, 0, 0, 1, 7, 13, 0, 70, 50, 15, 57.2
Robert Bortuzzo, DTD, StL, D, FA, 43, 2, 3, 9, 29, 0, 0, 0, 0, 0, 0, 0, 0, 30, 64, 49, 56.8
Henri Jokiharju, Healthy, Buf, D, FA, 53, 1, 9, -9, 26, 0, 0, 0, 0, 0, 0, 0, 0, 71, 56, 49, 56.8
Hudson Fasching, Healthy, NYI, RW, FA, 45, 7, 8, 6, 10, 0, 1, 0, 0, 1, 2, 8, 0, 55, 42, 20, 56.75
Cole Sillinger, Healthy, Cls, C, FA, 64, 3, 8, -23, 22, 2, 1, 0, 0, 0, 308, 388, 0, 93, 105, 36, 56.35
Jaret Anderson-Dolan, Healthy, LA, C, FA, 44, 7, 5, -10, 2, 0, 1, 0, 0, 2, 23, 16, 0, 54, 55, 29, 55.65
Jordan Oesterle, Healthy, Det, D, FA, 48, 2, 7, -10, 17, 0, 0, 0, 0, 0, 0, 0, 0, 51, 34, 65, 55.6
Josh Leivo, Healthy, StL, LW- RW, FA, 50, 4, 12, 0, 25, 0, 0, 0, 0, 0, 3, 4, 0, 89, 55, 13, 55.3
Craig Smith, Healthy, Wsh, RW, FA, 59, 7, 6, 5, 18, 0, 1, 0, 0, 1, 1, 7, 0, 84, 46, 17, 55.05
Oskar Lindblom, Healthy, SJ, LW, FA, 73, 6, 9, -16, 18, 0, 1, 0, 0, 0, 9, 10, 0, 75, 64, 24, 54.55
Boris Katchouk, Healthy, Chi, LW, FA, 52, 5, 9, -8, 25, 0, 0, 0, 1, 2, 2, 11, 0, 55, 79, 13, 54.55
Radim Simek, Healthy, SJ, D, FA, 39, 1, 1, -9, 27, 0, 0, 0, 0, 0, 0, 0, 0, 38, 78, 62, 54.5
Brett Ritchie, Healthy, Ari, RW, FA, 45, 8, 5, 1, 25, 0, 1, 0, 0, 0, 2, 2, 0, 63, 74, 8, 54.25
Derek Grant, Healthy, Ana, C- RW, FA, 41, 5, 10, -7, 16, 0, 2, 0, 0, 0, 255, 198, 0, 63, 31, 25, 54.2
Derek Stepan, Healthy, Car, C- RW, FA, 69, 5, 6, 9, 8, 0, 0, 0, 1, 0, 215, 181, 0, 95, 26, 20, 54.15
Robby Fabbri, O, Det, C- LW, FA, 28, 7, 8, -1, 22, 3, 5, 0, 0, 3, 10, 16, 0, 35, 49, 15, 54.15
Andreas Englund, Healthy, Chi, D, FA, 43, 0, 3, -2, 30, 0, 0, 0, 0, 0, 0, 0, 0, 28, 123, 27, 53.7
Emil Bemstrom, Healthy, Cls, C- RW, FA, 49, 6, 15, -7, 6, 2, 3, 0, 0, 0, 6, 9, 0, 83, 15, 18, 53.65
Adam Ruzicka, Healthy, Cgy, C- LW, FA, 44, 6, 14, -2, 8, 2, 4, 0, 0, 2, 83, 91, 0, 64, 28, 8, 53.2
Luke Kunin, IR, SJ, C- LW- RW, FA, 31, 5, 8, -9, 42, 2, 2, 0, 0, 0, 5, 7, 0, 58, 63, 27, 52.8
Justin Barron, Healthy, Mon, D, FA, 34, 3, 11, -2, 16, 1, 1, 0, 0, 1, 0, 0, 0, 37, 40, 30, 52.35
Alex Goligoski, Healthy, Min, D, FA, 44, 2, 4, -9, 16, 0, 1, 0, 0, 2, 0, 0, 0, 62, 29, 62, 52.05
Marcus Bjork, Healthy, Cls, D, FA, 30, 3, 8, -7, 26, 1, 5, 0, 0, 0, 0, 0, 0, 32, 42, 45, 51.95
Brendan Lemieux, Healthy, Phi, LW- RW, FA, 39, 2, 7, -1, 72, 0, 0, 0, 0, 0, 7, 7, 0, 40, 116, 12, 51.6
Jake Evans, Healthy, Mon, RW- C, FA, 49, 2, 13, -5, 26, 1, 0, 0, 0, 0, 304, 279, 0, 51, 26, 34, 51.3
Lukas Sedlak, Healthy, Phi, C, FA, 30, 3, 5, 4, 12, 0, 0, 0, 1, 0, 88, 102, 0, 44, 58, 31, 50.95
Kiefer Sherwood, Healthy, Nsh, RW- LW, FA, 25, 4, 6, 4, 28, 0, 1, 0, 0, 0, 3, 3, 0, 45, 84, 9, 50.65
Philip Tomasino, Healthy, Nsh, C- RW, FA, 24, 5, 12, 5, 6, 4, 1, 0, 0, 0, 7, 6, 0, 44, 23, 13, 50.05
Axel Jonsson-Fjallby, Healthy, Wpg, LW, FA, 49, 5, 8, -2, 8, 0, 0, 0, 1, 2, 1, 4, 0, 53, 41, 18, 49.25
Kevin Bahl, Healthy, NJ, D, FA, 37, 2, 5, 5, 19, 0, 0, 0, 0, 0, 0, 0, 0, 21, 58, 35, 49.1
Dylan Holloway, Healthy, Edm, C- LW- RW, FA, 51, 3, 6, 0, 27, 0, 0, 0, 0, 1, 22, 40, 0, 44, 83, 16, 48.8
Jacob Bryson, Healthy, Buf, D, FA, 57, 1, 8, -24, 8, 0, 0, 0, 1, 0, 0, 0, 0, 27, 31, 69, 48.45
Mark Jankowski, Healthy, Nsh, C- LW, FA, 43, 5, 3, -5, 16, 0, 0, 1, 0, 2, 165, 130, 0, 46, 43, 28, 48.4
Dylan Gambrell, Healthy, Ott, C, FA, 57, 3, 5, -6, 33, 0, 0, 0, 2, 0, 133, 165, 0, 43, 55, 43, 47.8
Riley Stillman, Healthy, Buf, D, FA, 44, 1, 7, -12, 34, 0, 0, 0, 0, 0, 0, 0, 0, 33, 73, 38, 47.3
Jesse Ylonen, Healthy, Mon, RW- LW, FA, 34, 6, 10, -8, 0, 1, 0, 0, 0, 1, 3, 3, 0, 42, 14, 27, 46.4
Aliaksei Protas, Healthy, Wsh, C- RW, FA, 53, 4, 10, -3, 10, 0, 0, 0, 0, 0, 16, 28, 0, 78, 39, 15, 46.3
Nils Aman, Healthy, Van, C, FA, 62, 4, 11, -9, 16, 0, 0, 0, 2, 1, 167, 274, 0, 47, 39, 39, 46.1
Nicklas Backstrom, Healthy, Wsh, C, FA, 34, 6, 12, -21, 14, 5, 5, 0, 0, 0, 214, 200, 0, 53, 22, 20, 45.15
Vincent Desharnais, Healthy, Edm, D, FA, 31, 0, 5, 15, 31, 0, 0, 0, 1, 0, 0, 0, 0, 10, 40, 39, 45.15
Jacob MacDonald, Healthy, SJ, D, FA, 52, 1, 5, -11, 21, 0, 1, 0, 0, 0, 0, 0, 0, 64, 56, 39, 44.85
Alex Belzile, O, Mon, C- RW, FA, 31, 6, 8, 0, 13, 0, 0, 0, 0, 0, 96, 109, 0, 40, 27, 22, 44.5
"Drew OConnor", Healthy, Pit, LW, FA, 43, 5, 5, -3, 10, 0, 0, 0, 0, 0, 18, 21, 0, 59, 58, 13, 44.5
Nathan Beaulieu, Healthy, Ana, D, FA, 48, 0, 4, -24, 37, 0, 0, 0, 0, 0, 0, 0, 0, 31, 45, 75, 44.4
Mason Appleton, Healthy, Wpg, C- RW, FA, 36, 3, 10, -1, 8, 1, 0, 0, 0, 0, 2, 7, 0, 61, 45, 10, 44.3
Devin Shore, Healthy, Edm, C- LW, FA, 46, 1, 8, 6, 4, 0, 0, 0, 0, 0, 81, 86, 0, 30, 44, 24, 44.3
Isac Lundestrom, Healthy, Ana, C- LW, FA, 56, 4, 10, -12, 2, 0, 0, 1, 0, 0, 260, 292, 0, 55, 18, 37, 44.0
Kevin Stenlund, Healthy, Wpg, RW- C, FA, 49, 5, 2, 0, 20, 0, 0, 1, 0, 0, 249, 220, 0, 60, 29, 28, 43.6
Jakub Vrana, Healthy, StL, C- LW, FA, 20, 10, 4, 6, 8, 3, 0, 0, 0, 2, 2, 5, 0, 56, 13, 5, 43.4
Sam Gagner, O, Wpg, C- LW- RW, FA, 48, 8, 6, -4, 13, 1, 2, 0, 0, 2, 14, 32, 0, 78, 16, 14, 42.5
Kurtis MacDermid, Healthy, Col, D, FA, 39, 1, 4, -1, 51, 0, 0, 0, 0, 1, 0, 1, 0, 18, 81, 26, 42.4
Cal Foote, Healthy, Nsh, D, FA, 43, 1, 4, 4, 61, 0, 0, 0, 0, 0, 0, 0, 0, 36, 51, 39, 42.3
Sam Carrick, Healthy, Ana, C, FA, 50, 3, 4, -16, 72, 0, 0, 0, 0, 0, 180, 182, 0, 49, 95, 24, 42.0
Philip Broberg, Healthy, Edm, D, FA, 43, 0, 7, 7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 29, 28, 33, 41.6
Sean Monahan, IR, Mon, C, FA, 25, 6, 11, -5, 16, 1, 3, 0, 0, 0, 177, 144, 0, 55, 10, 8, 41.45
Dylan Guenther, Healthy, Ari, RW- LW, FA, 33, 6, 9, -7, 10, 4, 2, 0, 0, 1, 2, 2, 0, 53, 18, 11, 40.7
Conor Timmins, Healthy, Tor, D, FA, 25, 2, 12, 0, 8, 0, 3, 0, 0, 1, 0, 0, 0, 18, 21, 18, 40.05
Juraj Slafkovsky, IR, Mon, LW, SLC, 39, 4, 6, -13, 33, 1, 1, 0, 0, 0, 5, 5, 0, 42, 53, 24, 40.05
Liam Foudy, Healthy, Cls, C- LW, FA, 56, 6, 6, -23, 8, 0, 0, 0, 0, 0, 3, 6, 0, 57, 59, 16, 39.8
Yegor Chinakhov, IR, Cls, RW- LW, FA, 30, 4, 9, -6, 10, 1, 1, 0, 0, 0, 1, 2, 0, 44, 27, 17, 39.15
Joel Armia, Healthy, Mon, RW- LW, FA, 38, 4, 7, -8, 22, 0, 1, 0, 0, 0, 2, 6, 0, 61, 31, 23, 39.05
Justin Braun, Healthy, Phi, D, FA, 47, 0, 2, -1, 19, 0, 0, 0, 0, 0, 0, 0, 0, 37, 44, 42, 38.5
Walker Duehr, Healthy, Cgy, RW, FA, 23, 6, 4, 1, 4, 0, 0, 0, 0, 1, 0, 5, 0, 44, 46, 3, 38.3
Pontus Holmberg, Healthy, Tor, C, FA, 37, 5, 8, 0, 18, 1, 0, 0, 0, 2, 93, 126, 0, 27, 24, 18, 38.3
Jonah Gadjovich, IR, SJ, LW- RW, FA, 35, 3, 4, -3, 57, 0, 0, 0, 0, 0, 1, 3, 0, 32, 92, 5, 37.9
Alexander Alexeyev, Healthy, Wsh, D, FA, 27, 0, 5, -3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 25, 29, 41, 37.5
Karson Kuhlman, Healthy, Wpg, C- RW, FA, 46, 3, 4, -3, 8, 0, 0, 0, 0, 2, 0, 3, 0, 48, 40, 18, 37.2
Colin Blackwell, O, Chi, C, FA, 53, 2, 8, -16, 6, 0, 0, 0, 1, 0, 18, 18, 0, 53, 49, 17, 36.65
Phillip Di Giuseppe, Healthy, Van, LW, FA, 24, 6, 4, -1, 10, 0, 0, 0, 1, 0, 1, 3, 0, 53, 37, 6, 36.45
Lane Pederson, DTD, Cls, C, FA, 27, 3, 3, -1, 26, 0, 0, 0, 0, 0, 77, 73, 0, 27, 68, 11, 36.4
Brendan Gallagher, Healthy, Mon, RW, FA, 32, 7, 6, -4, 35, 0, 2, 0, 0, 1, 5, 9, 0, 73, 16, 11, 36.2
Vasily Podkolzin, DTD, Van, RW- LW, FA, 39, 4, 3, -5, 9, 0, 0, 0, 0, 0, 7, 9, 0, 41, 52, 15, 36.1
Dennis Gilbert, Healthy, Cgy, D, FA, 22, 1, 3, 0, 22, 0, 0, 0, 0, 1, 0, 0, 0, 13, 55, 26, 36.1
Chris Wideman, Healthy, Mon, D, FA, 41, 0, 6, 0, 75, 0, 2, 0, 0, 0, 0, 0, 0, 28, 22, 48, 35.4
Connor Mackey, Healthy, Ari, D, FA, 25, 3, 3, -6, 29, 0, 0, 0, 0, 0, 0, 0, 0, 21, 56, 23, 35.0
Jake Neighbours, Healthy, StL, LW, FA, 38, 5, 4, -19, 22, 1, 1, 0, 0, 1, 4, 12, 0, 44, 53, 15, 33.05
Joey Anderson, Healthy, Tor, RW, FA, 32, 5, 3, -6, 0, 0, 0, 0, 0, 1, 0, 1, 0, 33, 31, 16, 33.0
Ben Hutton, Healthy, Vgk, D, FA, 25, 3, 3, 1, 6, 0, 1, 0, 0, 0, 0, 0, 0, 46, 14, 27, 32.95
Dryden Hunt, Healthy, Cgy, LW- RW, FA, 37, 3, 0, -10, 24, 0, 0, 0, 0, 0, 1, 2, 0, 23, 100, 4, 32.8
Jack Studnicka, Healthy, Van, C- RW, FA, 42, 4, 3, -10, 16, 0, 0, 0, 0, 1, 59, 67, 0, 58, 41, 17, 32.7
Luke Evangelista, Healthy, Nsh, RW, FA, 17, 6, 6, 6, 4, 0, 2, 0, 0, 1, 0, 0, 0, 43, 6, 2, 32.2
Victor Soderstrom, Healthy, Ari, D, FA, 25, 0, 7, -2, 22, 0, 2, 0, 0, 0, 0, 0, 0, 26, 16, 32, 31.2
David Gustafsson, Healthy, Wpg, C, FA, 45, 0, 6, 1, 6, 0, 0, 0, 1, 0, 99, 101, 0, 45, 25, 18, 30.45
Elmer Soderblom, Healthy, Det, LW, FA, 21, 5, 3, 0, 8, 0, 0, 0, 0, 2, 1, 3, 0, 30, 21, 11, 30.3
Mark Friedman, Healthy, Pit, D, FA, 20, 1, 2, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 30, 45, 20, 30.0
Ian Mitchell, Healthy, Chi, D, FA, 31, 1, 6, -10, 6, 0, 1, 0, 0, 0, 0, 0, 0, 23, 15, 35, 29.95
Gustav Lindstrom, Healthy, Det, D, FA, 33, 1, 7, -14, 16, 0, 0, 0, 0, 0, 0, 0, 0, 18, 34, 28, 29.9
Jayson Megna, Healthy, Ana, C- RW, FA, 53, 2, 5, -21, 6, 0, 0, 0, 0, 0, 137, 123, 0, 35, 47, 21, 29.9
Rem Pitlick, Healthy, Mon, C- RW, FA, 41, 5, 7, -15, 18, 1, 0, 0, 0, 1, 24, 31, 0, 28, 23, 16, 29.7
Vitali Kravtsov, Healthy, Van, LW- RW, FA, 41, 3, 4, 3, 8, 0, 2, 0, 0, 0, 0, 3, 0, 39, 18, 15, 29.7
Filip Zadina, O, Det, RW- LW, FA, 30, 3, 4, -5, 10, 0, 0, 0, 0, 2, 2, 4, 0, 51, 22, 15, 29.5
Michael McCarron, Healthy, Nsh, RW- C, FA, 25, 1, 1, -7, 24, 0, 0, 0, 0, 0, 53, 35, 0, 30, 59, 18, 29.1
Markus Niemelainen, Healthy, Edm, D, FA, 23, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 16, 61, 16, 29.0
Lukas Reichel, Healthy, Chi, LW- C, FA, 20, 6, 5, -7, 4, 0, 2, 0, 0, 0, 5, 8, 0, 37, 6, 15, 28.8
Zach Werenski, IR, Cls, D, SLC, 13, 3, 5, -6, 0, 0, 2, 0, 0, 0, 0, 0, 0, 41, 5, 24, 28.6
Jack Drury, Healthy, Car, C, FA, 32, 2, 4, 4, 12, 0, 1, 0, 0, 1, 64, 55, 0, 63, 9, 13, 28.45
Jordie Benn, Healthy, Tor, D, FA, 12, 1, 1, -1, 12, 0, 0, 0, 0, 1, 0, 0, 0, 13, 31, 29, 27.9
Brett Leason, Healthy, Ana, RW, FA, 52, 5, 3, -21, 14, 0, 0, 0, 0, 1, 2, 3, 0, 49, 35, 17, 27.4
Tyler Tucker, Healthy, StL, D, FA, 24, 1, 3, -8, 31, 0, 0, 0, 0, 0, 0, 0, 0, 20, 46, 24, 27.2
Rasmus Asplund, Healthy, Nsh, C- LW- RW, FA, 40, 2, 6, -3, 2, 0, 0, 1, 0, 0, 22, 33, 0, 45, 22, 9, 26.8
Simon Holmstrom, Healthy, NYI, RW, FA, 46, 5, 1, -5, 0, 0, 0, 0, 0, 2, 0, 3, 0, 37, 8, 20, 26.8
Martin Kaut, Healthy, SJ, C- RW, FA, 36, 4, 4, -4, 4, 1, 0, 0, 0, 1, 2, 4, 0, 44, 23, 5, 26.7
Marco Scandella, DTD, StL, D, FA, 20, 1, 1, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 17, 27, 26, 26.7
Jakub Lauko, Healthy, Bos, RW, FA, 21, 4, 2, 1, 11, 0, 0, 0, 0, 1, 0, 4, 0, 17, 38, 5, 26.6
Anthony Duclair, Healthy, Fla, LW- RW, SLC, 15, 1, 7, 6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 37, 13, 7, 26.4
Logan Stanley, Healthy, Wpg, D, FA, 18, 1, 2, -1, 21, 0, 0, 0, 0, 0, 0, 0, 0, 11, 44, 19, 26.2
Joel Hanley, Healthy, Dal, D, FA, 26, 0, 2, 4, 15, 0, 0, 0, 0, 0, 0, 0, 0, 14, 24, 28, 26.1
Chris Tierney, Healthy, Mon, C, FA, 31, 3, 6, -4, 6, 0, 0, 0, 1, 0, 85, 97, 0, 14, 15, 16, 25.85
Colton White, Healthy, Ana, D, FA, 42, 0, 6, -22, 8, 0, 0, 0, 0, 0, 0, 0, 0, 26, 30, 34, 25.8
Brad Hunt, Healthy, Col, D, FA, 43, 3, 5, 1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 42, 14, 9, 25.7
Nils Hoglander, Healthy, Van, LW- RW, FA, 25, 3, 6, -4, 6, 0, 0, 0, 0, 0, 1, 1, 0, 29, 21, 8, 25.6
Jakob Pelletier, Healthy, Cgy, LW, FA, 23, 3, 4, -6, 2, 2, 1, 0, 0, 1, 0, 5, 0, 46, 13, 13, 25.55
Vinnie Hinostroza, Healthy, Buf, RW- LW, FA, 26, 2, 9, -1, 6, 0, 0, 0, 1, 1, 1, 3, 0, 38, 1, 7, 25.55
Givani Smith, Healthy, Fla, RW, FA, 31, 1, 3, -1, 49, 0, 0, 0, 0, 0, 0, 0, 0, 29, 59, 6, 24.7
Nikita Alexandrov, Healthy, StL, C, FA, 28, 3, 4, 0, 8, 0, 0, 0, 0, 0, 53, 97, 0, 28, 28, 13, 24.5
Pavel Dorofeyev, Healthy, Vgk, RW- C, FA, 12, 5, 2, 3, 4, 2, 1, 0, 0, 3, 0, 0, 0, 27, 3, 5, 24.45
Jake Bean, IR, Cls, D, FA, 14, 1, 5, -2, 6, 0, 1, 0, 0, 0, 0, 0, 0, 16, 13, 21, 24.15
Kieffer Bellows, Healthy, Phi, LW- C, FA, 27, 3, 0, -8, 6, 0, 0, 0, 0, 1, 3, 15, 0, 31, 48, 10, 23.7
Jakub Zboril, Healthy, Bos, D, FA, 20, 1, 2, -1, 4, 0, 0, 0, 0, 1, 0, 0, 0, 11, 26, 18, 23.0
Tyson Foerster, Healthy, Phi, RW- C, FA, 8, 3, 4, 2, 8, 0, 1, 0, 0, 0, 0, 0, 0, 15, 12, 10, 22.55
Fredrik Olofsson, Healthy, Dal, LW, FA, 26, 1, 3, 0, 2, 0, 0, 0, 0, 1, 3, 5, 0, 31, 29, 7, 22.4
Nicholas Robertson, IR, Tor, LW, FA, 15, 2, 3, 2, 0, 0, 0, 0, 0, 1, 3, 1, 0, 27, 18, 7, 22.3
Ridly Greig, Healthy, Ott, C, FA, 18, 1, 6, 0, 12, 0, 3, 0, 0, 0, 39, 56, 0, 25, 30, 3, 21.85
Guillaume Brisebois, Healthy, Van, D, FA, 17, 1, 2, -2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 15, 11, 27, 21.7
Jansen Harkins, Healthy, Wpg, C- LW, FA, 22, 3, 2, 4, 12, 0, 0, 0, 0, 0, 2, 7, 0, 18, 16, 11, 21.4
Alex Chiasson, Healthy, Det, RW, FA, 14, 5, 3, -3, 4, 4, 2, 0, 0, 0, 0, 5, 0, 20, 9, 4, 21.3
Noah Juulsen, O, Van, D, FA, 12, 0, 0, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43, 16, 21.3
Casey Fitzgerald, Healthy, Fla, D, FA, 27, 0, 3, -2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 35, 12, 20.9
Cole Guttman, Healthy, Chi, C, FA, 14, 4, 2, 1, 2, 0, 0, 0, 0, 1, 88, 81, 0, 26, 4, 8, 20.8
Anthony Richard, Healthy, Mon, C, FA, 13, 3, 2, 2, 6, 0, 0, 0, 0, 1, 1, 3, 0, 13, 25, 3, 20.5
Nick Cicek, Healthy, SJ, D, FA, 16, 0, 4, -7, 15, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28, 21, 20.2
Ryan Carpenter, Healthy, NYR, C- LW- RW, FA, 22, 1, 2, -5, 10, 0, 0, 0, 0, 0, 67, 57, 0, 17, 35, 11, 20.2
Jake Christiansen, Healthy, Cls, D, FA, 23, 0, 3, -7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 25, 20, 22, 20.1
Haydn Fleury, Healthy, TB, D, FA, 27, 0, 1, -9, 14, 0, 0, 0, 0, 0, 0, 0, 0, 27, 29, 26, 20.0
Kale Clague, Healthy, Buf, D, FA, 32, 0, 3, -6, 24, 0, 0, 0, 0, 0, 0, 0, 0, 24, 24, 22, 19.7
Jake Leschyshyn, Healthy, NYR, C, FA, 35, 0, 0, -10, 8, 0, 0, 0, 0, 0, 118, 115, 0, 31, 55, 11, 19.6
Libor Hajek, Healthy, NYR, D, FA, 16, 1, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 17, 20, 19.0
Philippe Myers, Healthy, TB, D, FA, 11, 1, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 21, 31, 6, 19.0
Kevin Gravel, Healthy, Nsh, D, FA, 21, 0, 1, -9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 17, 20, 29, 19.0
Jacob Bernard-Docker, Healthy, Ott, D, FA, 15, 0, 1, -3, 9, 0, 0, 0, 0, 0, 0, 0, 0, 17, 22, 23, 18.9
Ty Smith, Healthy, Pit, D, FA, 9, 1, 3, 3, 4, 0, 3, 0, 0, 0, 0, 0, 0, 27, 19, 4, 18.75
Daniil Miromanov, Healthy, Vgk, D, FA, 14, 2, 4, -6, 2, 1, 2, 0, 0, 0, 0, 0, 0, 22, 7, 13, 18.6
Filip Roos, Healthy, Chi, D, FA, 17, 1, 2, -5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 19, 14, 20, 18.2
Jordan Gross, Healthy, Nsh, D, FA, 15, 3, 0, -3, 2, 1, 0, 0, 0, 0, 0, 0, 0, 24, 10, 16, 18.2
Tanner Laczynski, Healthy, Phi, C, FA, 27, 2, 2, -3, 2, 0, 0, 0, 0, 0, 37, 34, 0, 20, 22, 8, 18.2
Matt Kiersted, Healthy, Fla, D, FA, 20, 1, 4, 4, 6, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13, 7, 18.2
Nikita Okhotiuk, Healthy, SJ, D, FA, 10, 1, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 6, 31, 9, 17.7
Samuel Bolduc, Healthy, NYI, D, FA, 13, 1, 0, 3, 2, 0, 0, 0, 0, 1, 0, 0, 0, 15, 24, 9, 17.5
Urho Vaakanainen, IR, Ana, D, FA, 23, 0, 2, -16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 18, 28, 17.1
William Lockwood, Healthy, NYR, RW, FA, 13, 0, 1, -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 37, 13, 16.8
Cale Fleury, Healthy, Sea, D, FA, 11, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 10, 26, 13, 16.6
Wayne Simmonds, Healthy, Tor, RW, FA, 17, 0, 2, 1, 40, 0, 0, 0, 0, 0, 4, 0, 0, 9, 40, 7, 16.3
Robin Salo, Healthy, NYI, D, FA, 11, 2, 2, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 13, 16.3
Patric Hornqvist, IR, Fla, RW, FA, 22, 1, 2, -4, 13, 0, 1, 0, 0, 1, 1, 5, 0, 40, 18, 8, 15.95
